data,subject,clip,label,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path
samm,6,006_1_2,0,5562,5588,5632,samm/006/006_1_2/006_05562.jpg,samm/006/006_1_2/006_05588.jpg,samm/006/006_1_2/006_05632.jpg
samm,6,006_1_3,0,3912,3948,3988,samm/006/006_1_3/006_03912.jpg,samm/006/006_1_3/006_03948.jpg,samm/006/006_1_3/006_03988.jpg
samm,6,006_1_4,0,2324,2368,2403,samm/006/006_1_4/006_02324.jpg,samm/006/006_1_4/006_02368.jpg,samm/006/006_1_4/006_02403.jpg
samm,6,006_1_5,0,5343,5388,5424,samm/006/006_1_5/006_05343.jpg,samm/006/006_1_5/006_05388.jpg,samm/006/006_1_5/006_05424.jpg
samm,6,006_1_6,0,7160,7197,7259,samm/006/006_1_6/006_07160.jpg,samm/006/006_1_6/006_07197.jpg,samm/006/006_1_6/006_07259.jpg
samm,6,006_2_4,0,180,217,274,samm/006/006_2_4/006_0180.jpg,samm/006/006_2_4/006_0217.jpg,samm/006/006_2_4/006_0274.jpg
samm,6,006_3_4,0,639,668,702,samm/006/006_3_4/006_0639.jpg,samm/006/006_3_4/006_0668.jpg,samm/006/006_3_4/006_0702.jpg
samm,6,006_3_5,2,1787,1829,1856,samm/006/006_3_5/006_1787.jpg,samm/006/006_3_5/006_1829.jpg,samm/006/006_3_5/006_1856.jpg
samm,6,006_5_10,0,1436,1465,1514,samm/006/006_5_10/006_1436.jpg,samm/006/006_5_10/006_1465.jpg,samm/006/006_5_10/006_1514.jpg
samm,6,006_5_11,0,2130,2190,2226,samm/006/006_5_11/006_2130.jpg,samm/006/006_5_11/006_2190.jpg,samm/006/006_5_11/006_2226.jpg
samm,6,006_5_9,2,5258,5282,5351,samm/006/006_5_9/006_5258.jpg,samm/006/006_5_9/006_5282.jpg,samm/006/006_5_9/006_5351.jpg
samm,7,007_3_1,0,2046,2062,2091,samm/007/007_3_1/007_2046.jpg,samm/007/007_3_1/007_2062.jpg,samm/007/007_3_1/007_2091.jpg
samm,7,007_5_3,2,2759,2797,2835,samm/007/007_5_3/007_2759.jpg,samm/007/007_5_3/007_2797.jpg,samm/007/007_5_3/007_2835.jpg
samm,7,007_6_1,1,497,511,541,samm/007/007_6_1/007_0497.jpg,samm/007/007_6_1/007_0511.jpg,samm/007/007_6_1/007_0541.jpg
samm,7,007_6_2,1,1296,1326,1377,samm/007/007_6_2/007_1296.jpg,samm/007/007_6_2/007_1326.jpg,samm/007/007_6_2/007_1377.jpg
samm,7,007_6_3,1,2560,2592,2617,samm/007/007_6_3/007_2560.jpg,samm/007/007_6_3/007_2592.jpg,samm/007/007_6_3/007_2617.jpg
samm,7,007_6_5,1,649,673,723,samm/007/007_6_5/007_0649.jpg,samm/007/007_6_5/007_0673.jpg,samm/007/007_6_5/007_0723.jpg
samm,7,007_7_1,2,7030,7056,7070,samm/007/007_7_1/007_7030.jpg,samm/007/007_7_1/007_7056.jpg,samm/007/007_7_1/007_7070.jpg
samm,7,007_7_5,1,554,585,637,samm/007/007_7_5/007_0554.jpg,samm/007/007_7_5/007_0585.jpg,samm/007/007_7_5/007_0637.jpg
samm,9,009_2_1,0,3577,3602,3641,samm/009/009_2_1/009_3577.jpg,samm/009/009_2_1/009_3602.jpg,samm/009/009_2_1/009_3641.jpg
samm,9,009_3_2,0,1856,1891,1932,samm/009/009_3_2/009_1856.jpg,samm/009/009_3_2/009_1891.jpg,samm/009/009_3_2/009_1932.jpg
samm,9,009_3_3,0,1968,2010,2045,samm/009/009_3_3/009_1968.jpg,samm/009/009_3_3/009_2010.jpg,samm/009/009_3_3/009_2045.jpg
samm,9,009_3_4,2,3334,3370,3419,samm/009/009_3_4/009_3334.jpg,samm/009/009_3_4/009_3370.jpg,samm/009/009_3_4/009_3419.jpg
samm,10,010_2_1,0,192,206,228,samm/010/010_2_1/010_0192.jpg,samm/010/010_2_1/010_0206.jpg,samm/010/010_2_1/010_0228.jpg
