data,subject,clip,label,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path
smic,20,s20_ne_01,0,17581039,17581046,17581055,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581039.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581046.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581055.jpg
smic,20,s20_ne_02,0,17581713,17581729,17581744,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581713.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581729.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581744.jpg
smic,20,s20_ne_03,0,17625391,17625409,17625424,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625391.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625409.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625424.jpg
smic,20,s20_ne_04,0,17651135,17651146,17651157,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651135.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651146.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651157.jpg
smic,20,s20_ne_05,0,17664393,17664408,17664423,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664393.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664408.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664423.jpg
smic,20,s20_ne_06,0,17668815,17668824,17668835,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668815.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668824.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668835.jpg
smic,20,s20_ne_07,0,17668953,17668965,17668969,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668953.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668965.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668969.jpg
smic,20,s20_ne_08,0,17670640,17670656,17670684,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670640.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670656.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670684.jpg
smic,20,s20_ne_09,0,17678517,17678539,17678552,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678517.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678539.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678552.jpg
smic,20,s20_ne_10,0,17707991,17708007,17708009,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17707991.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17708007.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17708009.jpg
